Название отеля;Стоимость за ночь;Расположение отеля;Ссылка на отель
Отель Альва Донна;от 3103;2-й Покровский проезд, д.10, Котельники;https://ostrovok.ru/hotel/russia/kotelniki/mid8184730/alva_donna_hotel_/
Отель Аристократъ;от 2367;улица Сергиевская, д. 1 А, Сергиев Посад;https://ostrovok.ru/hotel/russia/sergiyev_posad/mid7679532/aristokrat_2/
Отель Arthurs Spa Hotel By Mercure;от 11290;улица Хвойная, строение 26, Ларёво;https://ostrovok.ru/hotel/russia/laryovo/mid7695899/arturs_village_spa_hotel/
Отель Атлас Парк;от 5733;деревня Судаково, д. 92, Домодедово;https://ostrovok.ru/hotel/russia/domodedovo/mid7819760/atlas_park/
Гостиница Барские Полати;от 3179;улица Валовая, д. 2, Сергиев Посад;https://ostrovok.ru/hotel/russia/sergiyev_posad/mid6760919/barskie_polati/
Мини-Отель Crocus Star;от 2972;Красногорский бульвар, д. 24, Красногорск;https://ostrovok.ru/hotel/russia/krasnogorsk/mid8742609/crocus_star_minihotel/
Отель Фуд Сити;от 3292;Калужское шоссе, 22-й километр, д.10с23, Москва;https://ostrovok.ru/hotel/russia/moscow/mid9761064/fud_siti_hotel/
Гостевая Изба на Истре;от 3182;ул. Центральная, д. 6, Истра;https://ostrovok.ru/hotel/russia/istra/mid8561929/gostevaya_izba_na_istre/
Гостевой дом Шишкина;от 3000;улица Пионерская, дом 12, Сергиев Посад;https://ostrovok.ru/hotel/russia/sergiyev_posad/mid6814590/gostevoj_dom_shishkina/
Гостиница Аквариум;от 4860;Международная, д. 20, Крокус Экспо, Красногорск;https://ostrovok.ru/hotel/russia/krasnogorsk/mid7600766/gostinitsa_akvarium/
Гостиница Владимирская;от 2886;улица Пионерская, д.3, Сергиев Посад;https://ostrovok.ru/hotel/russia/sergiyev_posad/mid7076137/gostinitsa_vladimirskaya/
Гостиница Эдем;от 2809;улица Исаакиевское Озеро, д. 1, Орехово-Зуево;https://ostrovok.ru/hotel/russia/central_russia_orehovo-zuevo/mid8661260/hotel_edem_8/
Отель Hanaka;от 1725;улица Пионерская, д.21, микрорайон Салтыковка, Балашиха;https://ostrovok.ru/hotel/russia/balashikha/mid8848813/hotel_hanaka/
Сергиев Отель;от 2642;проспект Красной Армии, д.109, Сергиев Посад;https://ostrovok.ru/hotel/russia/sergiyev_posad/mid8847096/hotel_sergiev/
Гостиница Коломна;от 4081;пл. Советская, 2, Коломна;https://ostrovok.ru/hotel/russia/kolomna/mid7686010/kolomna/
Мини-отель на Сергиевской, 6;от 2200;улица Сергиевская, д. 6, Сергиев Посад;https://ostrovok.ru/hotel/russia/sergiyev_posad/mid6799382/minihotel_on_sergievskaya_street_6/
Отель Мон Ами Химки;от 2521;улица Совхозная, д. 29, Химки;https://ostrovok.ru/hotel/russia/khimki/mid9764049/monami_hotel/
Отель Sunflower Румянцево;от 3828;Kievskoe shosse, 22nd km, Business-park Rumjantsevo, estate 4, building E, Внуково;https://ostrovok.ru/hotel/russia/vnucovo/mid7770730/otel_insaidbiznes/
Гостиничный комплекс  Постоялый двор Русь;от 3135;улица 2-я Московская, д. 2/20, Серпухов;https://ostrovok.ru/hotel/russia/serpukhov/mid6341912/postoyaly_dvor_rus/
Отель Royal Relaxing Spa;от 2709;деревня Картмазово, улица Киевская, д. 4, Внуково;https://ostrovok.ru/hotel/russia/vnucovo/mid9991508/royal_relaxing_spa/
Отель Sheraton Moscow Sheremetyevo Airport;от 5400;шоссе Международное, д.28Б, стр.5, Москва;https://ostrovok.ru/hotel/russia/moscow/mid8022376/sheraton_moscow_sheremetyevo_airport_hotel/
Отель SkyPoint Шереметьево;от 2900;Международное ш., д. 28Б, стр. 3, Москва;https://ostrovok.ru/hotel/russia/moscow/mid7770271/skypoint_hotel/
Загородный комплекс Тропикана Парк;от 4347;деревня Брехово, Брехово;https://ostrovok.ru/hotel/russia/moscow_region_(without_moscow_city)_brekhovo_neighborhood/mid9080150/tropikana_park_hotel/
Гостиница Центральная;от 2400;Овражный переулок, дом 2А, Сергиев Посад;https://ostrovok.ru/hotel/russia/sergiyev_posad/mid7934388/tsentralnaya_hotel_4/
Отель Яхонты Ногинск;от 11000;деревня Жилино, Жилино;https://ostrovok.ru/hotel/russia/tyumen_oblast_zhilino/mid7759188/yahonty_hotel_/
Бутик-отель Красная гора;от 4200;Улица Кирова, д.8б, Сергиев Посад;https://ostrovok.ru/hotel/russia/sergiyev_posad/mid6792133/butikotel_krasnaia_gora/
